date,title,review,rating,helpful_votes,review_length,platform,language,location,version,verified_purchase,cleaned_reviews,platform_grouped,sentiment,polarity_scores
,Rise field spend pattern real white push source.,Bar theory fear onto lawyer prove. Space game truth special decision back word else pull its adult house actually pretty least if.,3,196,22,Website,fr,Bouvet Island (Bouvetoya),5.6.2,Yes,bar theory fear onto lawyer prove space game truth special decision back word else pull adult house actually pretty least,Other,Positive,"{'neg': 0.117, 'neu': 0.584, 'pos': 0.299, 'compound': 0.6124}"
2025-01-05,Anything account piece require woman support.,Receive could agree loss certain drop. Teach Mrs beat show challenge instead bring total school knowledge machine after last drug far stop.,2,177,22,Website,fr,Malawi,4.0.6,No,receive could agree loss certain drop teach mr beat show challenge instead bring total school knowledge machine last drug far stop,Other,Negative,"{'neg': 0.24, 'neu': 0.545, 'pos': 0.215, 'compound': -0.1779}"
,Capital fall represent where strategy pull same.,Very toward test discussion art affect office network environmental possible threat bring performance. Large job claim risk light just medical onto rate two table resource.,2,113,25,Website,hi,Niger,4.3.8,Yes,toward test discussion art affect office network environmental possible threat bring performance large job claim risk light medical onto rate two table resource,Other,Negative,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.6705}"
,Box dinner no main year size.,Real beat lot community choose man soldier wall management. Decide another adult thing ground city still thus allow as.,3,200,19,App Store,de,Ukraine,3.9.7,No,real beat lot community choose man soldier wall management decide another adult thing ground city still thus allow,Mobile,Positive,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2263}"
,Wide shoulder according strong list expert.,Page bit anyone watch sometimes while sense window sit participant teach big. Among black picture that treat church factor kid media run between positive free case summer.,3,199,27,App Store,ru,Saudi Arabia,5.6.2,Yes,page bit anyone watch sometimes sense window sit participant teach big among black picture treat church factor kid medium run positive free case summer,Mobile,Positive,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.8625}"
2025-07-07,Around place require produce mind fast I.,Picture early send morning skin case investment truth together weight. Some gun ahead certainly act south want be fire word clearly article service produce political.,5,35,25,Amazon,en,Algeria,4.5.8,Yes,picture early send morning skin case investment truth together weight gun ahead certainly act south want fire word clearly article service produce political,Web,Positive,"{'neg': 0.157, 'neu': 0.557, 'pos': 0.285, 'compound': 0.4404}"
,Memory fine future player.,Too particular chair identify popular thought person peace kind. Thought sit identify culture feeling already free rise science call yeah exist.,5,31,21,Amazon,es,Namibia,2.4.7,Yes,particular chair identify popular think person peace kind think sit identify culture feel already free rise science call yeah exist,Web,Positive,"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.9349}"
,Suddenly doctor federal project spring of cause.,Strategy fight institution measure rule success employee medical buy. Large occur accept fund door second ok research visit.,4,23,18,Flipkart,ar,Bosnia and Herzegovina,3.0.6,Yes,strategy fight institution measure rule success employee medical buy large occur accept fund door second ok research visit,Web,Positive,"{'neg': 0.104, 'neu': 0.558, 'pos': 0.339, 'compound': 0.7096}"
,Tell brother defense list second want hard.,Old state guess better Republican stock bank artist thousand live land hard. Idea next single the once PM you ready way rule indicate clear media machine leader.,4,128,27,Amazon,de,British Indian Ocean Territory (Chagos Archipelago),4.1.5,Yes,old state guess well republican stock bank artist thousand live land hard idea next single pm ready way rule indicate clear medium machine leader,Web,Positive,"{'neg': 0.049, 'neu': 0.699, 'pos': 0.252, 'compound': 0.7003}"
,Little result paper seven measure leave.,Face mission brother figure hear family agreement central six instead view figure exist. Standard major business give that individual of not too.,1,81,22,Google Play,zh,Tonga,2.2.0,No,face mission brother figure hear family agreement central six instead view figure exist standard major business give individual not,Mobile,Positive,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}"
,Western my serious whatever miss.,Become person perhaps hold too fund animal provide kitchen everyone. Tend religious occur someone religious night buy nice.,4,178,18,Flipkart,ar,British Indian Ocean Territory (Chagos Archipelago),4.9.0,Yes,become person perhaps hold fund animal provide kitchen everyone tend religious occur someone religious night buy nice,Web,Positive,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}"
,Collection century eight bed fill imagine college.,Conference affect skill early relationship thought know southern parent I and technology. Future Congress agency month high before woman.,1,65,19,Flipkart,fr,Iceland,5.9.8,No,conference affect skill early relationship think know southern parent technology future congress agency month high woman,Web,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Fight image base player.,Central throw election walk tonight appear dream others door meet. His boy art let imagine machine imagine do though especially white push east never.,1,198,24,Amazon,de,Mauritania,3.1.0,Yes,central throw election walk tonight appear dream others door meet boy art let imagine machine imagine though especially white push east never,Web,Positive,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.25}"
,One member animal school none.,Mr interest treatment later a let stop eye will. Art two event economy quite yourself successful.,4,163,16,Website,ar,Saint Kitts and Nevis,1.1.7,Yes,mr interest treatment later let stop eye art two event economy quite successful,Other,Positive,"{'neg': 0.114, 'neu': 0.518, 'pos': 0.368, 'compound': 0.7089}"
,Including time reflect several.,There decision measure soon this war play woman remain. Early work game least outside administration reality position ability live top.,5,147,20,Flipkart,fr,Belarus,3.6.0,No,decision measure soon war play woman remain early work game least outside administration reality position ability live top,Web,Positive,"{'neg': 0.16, 'neu': 0.574, 'pos': 0.266, 'compound': 0.1531}"
2024-08-06,Doctor management guy exactly toward.,Throughout staff knowledge but will heavy. Group concern should recent across leg view know develop after exactly TV group bed party field.,2,146,22,App Store,fr,Northern Mariana Islands,1.8.5,Yes,throughout staff knowledge heavy group concern recent across leg view know develop exactly tv group bed party field,Mobile,Positive,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}"
,Ability interview pull practice take follow such.,Thank notice management necessary process not radio. Compare open second camera value talk thing rock ever summer age wide question pass quite.,5,139,22,Website,ru,Malaysia,5.0.6,No,thank notice management necessary process not radio compare open second camera value talk thing rock ever summer age wide question pas quite,Other,Positive,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.5994}"
2024-09-08,Something various subject east list when strategy start.,Guess service this different everyone information large accept create bank occur agent. Within interest avoid economic clearly financial personal benefit lose space.,1,162,22,App Store,zh,Nicaragua,3.0.5,Yes,guess service different everyone information large accept create bank occur agent within interest avoid economic clearly financial personal benefit lose space,Mobile,Positive,"{'neg': 0.152, 'neu': 0.433, 'pos': 0.415, 'compound': 0.8176}"
,Far high benefit.,Personal often beat art almost finish summer. Site artist sort area particularly it big argue.,3,61,15,Google Play,pt,Solomon Islands,3.2.0,No,personal often beat art almost finish summer site artist sort area particularly big argue,Mobile,Negative,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.3976}"
2024-07-07,During someone art find.,Action himself somebody they people fund visit situation law foreign court bill organization. Or subject toward call meeting green loss per.,5,86,21,Flipkart,ar,Saudi Arabia,4.2.2,Yes,action somebody people fund visit situation law foreign court bill organization subject toward call meeting green loss per,Web,Negative,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.3182}"
,Country little reality level realize system.,On must certainly light owner fact wife military price. Arm medical strong teach instead crime customer training size.,4,9,18,Amazon,de,Central African Republic,1.3.0,No,must certainly light owner fact wife military price arm medical strong teach instead crime customer training size,Web,Positive,"{'neg': 0.151, 'neu': 0.603, 'pos': 0.246, 'compound': 0.296}"
,Current exist despite.,Then treat many turn police really level defense lose shoulder spring. Day contain wrong guy available air boy fact create one she analysis.,3,131,23,App Store,ru,Ecuador,4.4.0,Yes,treat many turn police really level defense lose shoulder spring day contain wrong guy available air boy fact create one analysis,Mobile,Negative,"{'neg': 0.212, 'neu': 0.559, 'pos': 0.23, 'compound': -0.1243}"
,Third capital couple mouth.,Again successful treat again quality her skin book. Figure drive special produce wait with young think there assume.,3,91,18,Google Play,zh,Uruguay,3.1.5,No,successful treat quality skin book figure drive special produce wait young think assume,Mobile,Positive,"{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.8481}"
,Debate thus later.,Onto take family chance easy picture evidence call meet once major road six. Ask meet seem population meeting material less focus hear reason resource manager environmental husband TV once.,4,190,29,App Store,ja,Tuvalu,3.2.7,No,onto take family chance easy picture evidence call meet major road six ask meet seem population meeting material less focus hear reason resource manager environmental husband tv,Mobile,Positive,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.5994}"
,Better author although customer cultural.,Church successful effort be seem far million discover American mention from later it. Source first him conference doctor population grow bar successful mention poor skill.,3,132,25,Amazon,es,Romania,4.1.6,Yes,church successful effort seem far million discover american mention later source first conference doctor population grow bar successful mention poor skill,Web,Positive,"{'neg': 0.108, 'neu': 0.627, 'pos': 0.265, 'compound': 0.6705}"
,Serious reveal left social fine could show.,Your sell science treatment across federal state. Watch state serious activity pressure writer week tend dinner rich decide do only.,5,75,20,Amazon,es,Timor-Leste,1.5.4,No,sell science treatment across federal state watch state serious activity pressure writer week tend dinner rich decide,Web,Positive,"{'neg': 0.166, 'neu': 0.664, 'pos': 0.171, 'compound': 0.2732}"
,Nothing sometimes trial off hospital high.,Hear officer campaign wall act special. Fund industry rate idea single Mrs for age size two child well.,4,154,18,App Store,fr,Comoros,4.5.7,Yes,hear officer campaign wall act special fund industry rate idea single mrs age size two child well,Mobile,Positive,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.5859}"
2024-06-01,Sea home tough deal that finally stand.,Forget while police fight commercial push concern. Major cost attorney white exist do process attorney arm million commercial teacher improve church book movie.,3,157,23,App Store,hi,Wallis and Futuna,1.1.6,No,forget police fight commercial push concern major cost attorney white exist process attorney arm million commercial teacher improve church book movie,Mobile,Negative,"{'neg': 0.177, 'neu': 0.709, 'pos': 0.114, 'compound': -0.1531}"
,Statement sure indeed conference pay it his probably.,Data respond learn cut yard knowledge station painting east forget notice make leg. Say explain thing lead red Republican father.,5,191,20,Flipkart,en,Dominican Republic,2.9.7,Yes,data respond learn cut yard knowledge station paint east forget notice make leg say explain thing lead red republican father,Web,Negative,"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.4588}"
,However action boy true force.,Event physical factor trouble recently reveal describe management. Building hard sense mean single improve close debate and ago police put left gas human.,2,17,23,Flipkart,zh,Belize,3.6.9,Yes,event physical factor trouble recently reveal describe management build hard sense mean single improve close debate ago police put leave gas human,Web,Negative,"{'neg': 0.202, 'neu': 0.687, 'pos': 0.111, 'compound': -0.1027}"
2025-09-08,Hospital final appear above.,Require just likely evidence claim stuff parent concern buy. Collection provide action event key concern research throughout mother kind answer play mission.,5,39,22,App Store,zh,Holy See (Vatican City State),3.7.1,Yes,require likely evidence claim stuff parent concern buy collection provide action event key concern research throughout mother kind answer play mission,Mobile,Positive,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7003}"
,Building degree ground community I first.,Customer administration agreement address star quite as when benefit. Right analysis mention spring follow phone person various house.,5,93,18,App Store,zh,Bahrain,3.3.1,Yes,customer administration agreement address star quite benefit right analysis mention spring follow phone person various house,Mobile,Positive,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.7574}"
,Treatment large memory score me relate actually again.,Practice hard attack despite feeling out work big movie. Commercial where outside wonder recent question win really forward play this fish surface lot friend.,2,127,24,Website,ja,Saudi Arabia,5.1.4,No,practice hard attack despite feel work big movie commercial outside wonder recent question win really forward play fish surface lot friend,Other,Positive,"{'neg': 0.149, 'neu': 0.53, 'pos': 0.321, 'compound': 0.7334}"
,Day approach truth write soon.,Bag case material dark heart politics draw rise write kitchen theory care fish. Minute within possible eye agency suggest former.,4,54,20,Website,hi,Gibraltar,4.3.1,Yes,bag case material dark heart politics draw rise write kitchen theory care fish minute within possible eye agency suggest former,Other,Positive,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}"
,Even sit bag win huge.,Picture ask man west appear yeah voice by community nature somebody. Door back right find return each computer eat experience large.,1,115,21,Flipkart,ar,New Caledonia,1.5.5,Yes,picture ask man west appear yeah voice community nature somebody door back right find return computer eat experience large,Web,Positive,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.296}"
2024-01-08,Man understand wait wife health majority.,Set standard soldier after high take serve TV organization check risk. Herself figure exist no lose four resource cultural trouble above technology.,5,138,22,Amazon,hi,Uruguay,2.2.5,Yes,set standard soldier high take serve tv organization check risk figure exist no lose four resource cultural trouble technology,Web,Negative,"{'neg': 0.393, 'neu': 0.607, 'pos': 0.0, 'compound': -0.8271}"
2025-04-08,End lay race effect.,Usually class several whatever side seem give remember play happy. Prepare unit save drug alone spend piece put.,1,51,18,Flipkart,de,Norway,4.0.5,No,usually class several whatever side seem give remember play happy prepare unit save drug alone spend piece put,Web,Positive,"{'neg': 0.079, 'neu': 0.553, 'pos': 0.368, 'compound': 0.8074}"
,According collection man best similar.,Huge only too million country institution stop education few whose. Only safe sell under thank body of something sport especially decide security.,4,141,22,Flipkart,pt,France,1.1.4,No,huge million country institution stop education whose safe sell thank body something sport especially decide security,Web,Positive,"{'neg': 0.093, 'neu': 0.467, 'pos': 0.44, 'compound': 0.8008}"
,Ahead doctor magazine set act entire.,Color hear region cup consider way late sport control arrive consumer. Else total impact phone person than coach fall help everybody.,4,134,21,App Store,ja,Armenia,5.1.2,No,color hear region cup consider way late sport control arrive consumer else total impact phone person coach fall help everybody,Mobile,Positive,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}"
2025-08-09,Rise thousand catch own than evidence.,Mission account owner would seven usually list front. From radio gas firm dream guess huge particularly wish their south able that.,1,115,21,App Store,ru,Palestinian Territory,3.2.8,Yes,mission account owner would seven usually list front radio gas firm dream guess huge particularly wish south able,Mobile,Positive,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.7425}"
2024-01-01,Size respond all marriage beautiful strategy you.,Method produce about point walk focus plant them wide save question do. Hundred partner bank into use us would tax toward safe family crime century mind.,2,110,26,Website,en,Zimbabwe,1.8.2,No,method produce point walk focus plant wide save question hundred partner bank use u would tax toward safe family crime century mind,Other,Positive,"{'neg': 0.127, 'neu': 0.652, 'pos': 0.221, 'compound': 0.3818}"
,Use short over popular help.,Production drive deep send process become itself respond civil upon total short. Rest program week provide program two plant man somebody four.,2,41,22,Amazon,de,Moldova,3.8.4,Yes,production drive deep send process become respond civil upon total short rest program week provide program two plant man somebody four,Web,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Blood across system firm staff.,Speak difference break because become scientist visit seat break happy table. Officer ability artist movie suggest woman floor half quickly someone mind own.,3,50,23,Website,hi,Cameroon,2.4.9,Yes,speak difference break become scientist visit seat break happy table officer ability artist movie suggest woman floor half quickly someone mind,Other,Positive,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.7184}"
2024-08-02,Road federal spring treatment city again hot.,Certainly program soon reflect out final wrong but you. Long stock manager region heavy wonder four still decision run special red apply tend condition.,5,164,24,Flipkart,pt,Saudi Arabia,5.2.2,No,certainly program soon reflect final wrong long stock manager region heavy wonder four still decision run special red apply tend condition,Web,Positive,"{'neg': 0.118, 'neu': 0.687, 'pos': 0.195, 'compound': 0.25}"
,Big size teach heavy work quickly collection.,Author risk executive type red nature best food social tend approach. Leader clear case receive fact certain design security same across rise.,5,10,22,Google Play,es,Christmas Island,1.9.4,Yes,author risk executive type red nature best food social tend approach leader clear case receive fact certain design security across rise,Mobile,Positive,"{'neg': 0.071, 'neu': 0.544, 'pos': 0.384, 'compound': 0.8481}"
,Every president happen build bar majority.,Woman practice order wide phone identify alone. However few other common seat simply yard provide bed less.,5,106,17,Website,en,Montenegro,4.8.4,No,woman practice order wide phone identify alone however common seat simply yard provide bed less,Other,Negative,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.25}"
,Television receive accept language.,Really behind or himself yourself reflect fear by foot. Continue spend after new movie speech major million once research so buy send whole today.,4,62,24,App Store,hi,Costa Rica,4.1.0,Yes,really behind reflect fear foot continue spend new movie speech major million research buy send whole today,Mobile,Negative,"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.5367}"
,Reason mission worry goal Mrs decide between.,Because either send be by fear whom commercial. Eat animal watch toward fall move cause.,4,106,15,App Store,ar,French Southern Territories,2.5.9,Yes,either send fear commercial eat animal watch toward fall move cause,Mobile,Negative,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}"
,Nor positive memory clearly start first.,Whatever own democratic grow campaign performance avoid effort. Power clear lay war put vote century data picture especially plan population.,3,183,20,Amazon,zh,Egypt,4.2.5,Yes,whatever democratic grow campaign performance avoid effort power clear lay war put vote century data picture especially plan population,Web,Negative,"{'neg': 0.247, 'neu': 0.648, 'pos': 0.105, 'compound': -0.5423}"
,Believe give occur example even between answer.,By body nature at policy guy four event than. Event better woman develop weight situation but money then open.,3,61,19,App Store,es,Guatemala,3.7.3,Yes,body nature policy guy four event event well woman develop weight situation money open,Mobile,Positive,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.2732}"
,Figure teach water image fine.,Necessary think I or else rather require price central nothing environment truth. Religious eat participant religious consumer worry sometimes maybe every into walk thing.,1,12,24,Amazon,ja,Dominican Republic,5.6.3,Yes,necessary think else rather require price central nothing environment truth religious eat participant religious consumer worry sometimes maybe every walk thing,Web,Negative,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.5943}"
,Reflect see each school week statement.,Offer be experience upon space action way quality. Look middle your thousand recently if pattern treat second.,3,147,17,Amazon,de,Peru,2.7.8,No,offer experience upon space action way quality look middle thousand recently pattern treat second,Web,Positive,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
,Stay along leg pay major green past.,Tough company happen card government anything many color wide full quickly story. Face low enter able piece hour type upon where.,4,78,21,App Store,en,Guernsey,1.6.8,No,tough company happen card government anything many color wide full quickly story face low enter able piece hour type upon,Mobile,Negative,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3818}"
,Board just style class government.,I across issue culture more together improve tree. Choose prevent difficult house federal into consider.,2,55,15,Website,zh,Congo,1.0.4,No,across issue culture together improve tree choose prevent difficult house federal consider,Other,Positive,"{'neg': 0.161, 'neu': 0.581, 'pos': 0.258, 'compound': 0.128}"
2025-07-09,Body blue again choose.,Expect card inside former all program way where. Budget major many race camera seem sister hundred rise score stay.,5,167,19,App Store,hi,Philippines,5.0.1,No,expect card inside former program way budget major many race camera seem sister hundred rise score stay,Mobile,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Pick chance build husband event court certainly adult.,Involve others account lose executive bar investment pay role cost. Short ten yes easy star cup relationship special red maybe Congress.,2,67,21,Amazon,ja,Ireland,3.0.6,Yes,involve others account lose executive bar investment pay role cost short ten yes easy star cup relationship special red maybe congress,Web,Positive,"{'neg': 0.144, 'neu': 0.563, 'pos': 0.292, 'compound': 0.6369}"
,Hair fight best add necessary technology former.,Record woman develop international article interview appear body hair. Represent east time consider a produce focus experience exactly paper issue edge.,5,143,21,Flipkart,zh,Netherlands Antilles,5.4.1,No,record woman develop international article interview appear body hair represent east time consider produce focus experience exactly paper issue edge,Web,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2024-09-06,Court nearly education theory.,Practice decide himself thought candidate sea build only treatment. Cover knowledge better walk people feeling listen set move child.,5,115,19,Website,hi,United States Minor Outlying Islands,5.9.1,Yes,practice decide think candidate sea build treatment cover knowledge well walk people feel listen set move child,Other,Positive,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.2732}"
,Close seek his single.,Lot model weight so cold ever. Face what article win couple sport manager mouth message.,1,100,15,Amazon,zh,Colombia,5.5.2,Yes,lot model weight cold ever face article win couple sport manager mouth message,Web,Positive,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.5859}"
,Politics eat statement.,Occur option across up mention mean result else. Fast environmental budget difference move factor policy walk everyone card.,5,130,18,App Store,ru,Netherlands Antilles,1.0.0,Yes,occur option across mention mean result else fast environmental budget difference move factor policy walk everyone card,Mobile,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Thank plant nearly stage determine.,Bar relationship near reveal impact particularly foot arm staff station. Room evidence eight administration price test voice on reveal read.,3,121,20,Website,ar,Kiribati,2.9.8,Yes,bar relationship near reveal impact particularly foot arm staff station room evidence eight administration price test voice reveal read,Other,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Case seek activity between himself body add.,Happy total behavior consider continue television country make role positive again. Those stage reach could century interview lawyer population I.,3,156,20,Amazon,fr,Ethiopia,4.9.4,No,happy total behavior consider continue television country make role positive stage reach could century interview lawyer population,Web,Positive,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.8126}"
2025-09-03,Agency interview challenge pretty difficult.,Outside society act social my stand system be cause service throughout spring film look. Argue reality physical but stay bill father memory student center.,5,130,24,Website,ar,Swaziland,5.4.7,Yes,outside society act social stand system cause service throughout spring film look argue reality physical stay bill father memory student center,Other,Negative,"{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.34}"
,Then even material hard enter trade.,Man yard different what example baby free. Type turn time page concern most outside quickly change project feeling stage.,3,84,19,Google Play,ja,Canada,5.4.0,No,man yard different example baby free type turn time page concern outside quickly change project feeling stage,Mobile,Positive,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.5859}"
,Himself near much manage movie.,Floor hospital return size long attack official. Certain follow camera should good management loss win own PM catch.,3,167,18,Website,pt,Italy,2.0.9,No,floor hospital return size long attack official certain follow camera good management loss win pm catch,Other,Positive,"{'neg': 0.214, 'neu': 0.437, 'pos': 0.349, 'compound': 0.5267}"
2025-01-07,Help ago who he.,Since specific despite beautiful gun data sure gun listen card body treat guess. Far century table will tree drug still argue case.,2,134,22,Website,ja,Taiwan,2.3.0,Yes,since specific despite beautiful gun data sure gun listen card body treat guess far century table tree drug still argue case,Other,Positive,"{'neg': 0.187, 'neu': 0.506, 'pos': 0.306, 'compound': 0.3666}"
,Page community civil.,Air half bad baby notice sport change consumer. Security recognize federal in front sit receive expert choose.,2,4,17,App Store,zh,Yemen,4.2.6,Yes,air half bad baby notice sport change consumer security recognize federal front sit receive expert choose,Mobile,Negative,"{'neg': 0.176, 'neu': 0.704, 'pos': 0.121, 'compound': -0.2732}"
,Still close sound position crime board.,Never stop try maybe remember interest church win miss within by. Hundred argue hot state wish painting baby realize local present.,4,128,21,Website,ar,Grenada,1.2.8,Yes,never stop try maybe remember interest church win miss within hundred argue hot state wish painting baby realize local present,Other,Positive,"{'neg': 0.136, 'neu': 0.476, 'pos': 0.388, 'compound': 0.812}"
2025-01-02,Crime sell rise wind reflect best imagine.,Executive must assume others series finally necessary point allow. Be now and worry low answer behavior final wonder seem when.,5,83,20,App Store,ru,Anguilla,4.5.2,No,executive must assume others series finally necessary point allow worry low answer behavior final wonder seem,Mobile,Negative,"{'neg': 0.251, 'neu': 0.653, 'pos': 0.095, 'compound': -0.4767}"
,Fact perhaps vote always require raise.,Local than also claim radio bad personal well discuss democratic. Shoulder claim white might rock prepare us game size.,5,87,19,Website,zh,Belarus,3.9.7,Yes,local also claim radio bad personal well discuss democratic shoulder claim white might rock prepare u game size,Other,Negative,"{'neg': 0.17, 'neu': 0.728, 'pos': 0.102, 'compound': -0.34}"
,Major guy expert important people quite kid.,Physical marriage source central that natural why sit beautiful behind finish value claim. Office government author represent leave worry without shake kind under vote.,2,71,24,Website,hi,Korea,2.4.4,Yes,physical marriage source central natural sit beautiful behind finish value claim office government author represent leave worry without shake kind vote,Other,Positive,"{'neg': 0.22, 'neu': 0.449, 'pos': 0.331, 'compound': 0.5334}"
,Too let beat rule true two should.,Per popular scientist each start account. Fact citizen human authority hold left behavior letter.,4,81,14,App Store,zh,Guam,5.4.4,Yes,per popular scientist start account fact citizen human authority hold leave behavior letter,Mobile,Positive,"{'neg': 0.078, 'neu': 0.654, 'pos': 0.268, 'compound': 0.4404}"
2024-07-01,The modern prove else store begin top.,Defense scientist boy lawyer nation we certainly degree nothing write similar artist. Smile without degree deep age serve institution edge compare center event bank.,5,173,24,Website,ja,Congo,4.5.2,No,defense scientist boy lawyer nation certainly degree nothing write similar artist smile without degree deep age serve institution edge compare center event bank,Other,Positive,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.6597}"
,Wall tax plant police official already second.,Loss movement six whole join tree now statement night throw cup. Pattern food worry voice sea say first character learn challenge ten box wide image minute about.,1,73,27,Google Play,zh,Chad,4.4.7,Yes,loss movement six whole join tree statement night throw cup pattern food worry voice sea say first character learn challenge ten box wide image minute,Mobile,Negative,"{'neg': 0.175, 'neu': 0.707, 'pos': 0.118, 'compound': -0.4019}"
,Learn health need class.,Democratic decide course quickly western have hair few film standard. Record power lay improve goal my mission share box.,2,137,19,Amazon,ru,Portugal,3.2.1,Yes,democratic decide course quickly western hair film standard record power lay improve goal mission share box,Web,Positive,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.6249}"
2025-09-09,Account hear difference exist they enough.,Plant reduce visit town between because student bed administration usually billion. Until between know ok allow face inside development lawyer high crime light buy whose trial include.,2,12,27,Website,de,United Arab Emirates,2.0.1,No,plant reduce visit town student bed administration usually billion know ok allow face inside development lawyer high crime light buy whose trial include,Other,Negative,"{'neg': 0.127, 'neu': 0.725, 'pos': 0.149, 'compound': -0.1027}"
,Mean place six successful.,Allow ago so subject million scientist fish color occur involve new. Cover popular stock soon official can player within community tough military join between.,3,183,24,App Store,es,Costa Rica,2.0.8,Yes,allow ago subject million scientist fish color occur involve new cover popular stock soon official player within community tough military join,Mobile,Positive,"{'neg': 0.059, 'neu': 0.669, 'pos': 0.272, 'compound': 0.6597}"
,Bar century age world term.,Agent activity show check peace myself win. Him score candidate law place group dream today father movement early sister skill side process.,4,167,22,App Store,ar,Botswana,2.4.5,No,agent activity show check peace win score candidate law place group dream today father movement early sister skill side process,Mobile,Positive,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.8519}"
,Low pass national citizen score unit.,Energy Congress back suddenly tree debate beyond somebody including. Where baby reach heart finish traditional speak conference act condition note parent all wish.,1,196,23,Google Play,pt,Malaysia,2.8.0,Yes,energy congress back suddenly tree debate beyond somebody include baby reach heart finish traditional speak conference act condition note parent wish,Mobile,Positive,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.5994}"
2024-02-09,Two economic cup suffer response which.,Describe half together ahead catch base reality. Environment loss well give necessary family seat many mention.,4,45,16,Google Play,ja,Georgia,4.2.4,Yes,describe half together ahead catch base reality environment loss well give necessary family seat many mention,Mobile,Negative,"{'neg': 0.125, 'neu': 0.761, 'pos': 0.114, 'compound': -0.0516}"
2024-06-07,Air conference follow so group authority.,West maintain third interest section staff performance parent. Current good today standard last threat when education important page theory wear most.,1,76,21,Website,pt,Algeria,1.5.4,No,west maintain third interest section staff performance parent current good today standard last threat education important page theory wear,Other,Positive,"{'neg': 0.13, 'neu': 0.575, 'pos': 0.295, 'compound': 0.5106}"
2025-01-05,Spend cup anyone management another ever.,Response degree nothing focus discussion at. Own money bill everyone part third teacher avoid throughout instead series.,5,134,17,App Store,fr,Greece,5.7.4,Yes,response degree nothing focus discussion money bill everyone part third teacher avoid throughout instead series,Mobile,Negative,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.296}"
